candidate_id,rank,score,reasoning
CAND_0079387,1,0.7495,"AI Engineer with 6.9 years experience at Microsoft; verified Sentence Transformers score 86/100; hands-on retrieval, ranking work in career history."
CAND_0077337,2,0.7352,"Staff Machine Learning Engineer with 7.0 years experience at Paytm; verified Semantic Search score 63/100; hands-on retrieval, ranking work in career history."
CAND_0018499,3,0.729,"Senior Machine Learning Engineer with 7.2 years experience at Zomato; verified Deep Learning score 94/100; hands-on retrieval, ranking work in career history."
CAND_0041669,4,0.722,"Recommendation Systems Engineer with 8.0 years experience at CRED; verified FAISS score 84/100; hands-on ranking, recommendation work in career history."
CAND_0064326,5,0.7179,"Search Engineer with 7.6 years experience at Sarvam AI; verified Milvus score 76/100; hands-on ranking, embeddings work in career history."
CAND_0046064,6,0.7122,"Senior NLP Engineer with 8.9 years experience at Salesforce; verified Python score 64/100; hands-on retrieval, ranking work in career history."
CAND_0027691,7,0.706,"NLP Engineer with 6.5 years experience at Haptik; verified LoRA score 87/100; hands-on retrieval, ranking work in career history."
CAND_0086022,8,0.7009,"Senior Applied Scientist with 5.3 years experience at Sarvam AI; verified Vector Search score 93/100; hands-on retrieval, ranking work in career history."
CAND_0071974,9,0.6994,"Senior AI Engineer with 7.8 years experience at Netflix; verified LoRA score 87/100; hands-on retrieval, ranking work in career history."
CAND_0055905,10,0.6986,"Senior Machine Learning Engineer with 8.1 years experience at Flipkart; verified Elasticsearch score 83/100; hands-on retrieval, ranking work in career history."
CAND_0065878,11,0.6941,"Senior Data Scientist with 7.8 years experience at Niramai; verified scikit-learn score 71/100; hands-on ranking, recommendation work in career history."
CAND_0041610,12,0.6916,"Recommendation Systems Engineer with 6.7 years experience at Zoho; verified OpenCV score 73/100; hands-on ranking, embeddings work in career history."
CAND_0028793,13,0.6866,"Search Engineer with 7.2 years experience at Google; verified Embeddings score 89/100; hands-on retrieval, ranking work in career history. Concern: notice period 120 days."
CAND_0052682,14,0.6837,"NLP Engineer with 6.6 years experience at Aganitha; verified QLoRA score 66/100; hands-on ranking, recommendation work in career history."
CAND_0083307,15,0.6811,"Search Engineer with 7.8 years experience at CRED; hands-on retrieval, ranking work in career history. Concern: notice period 120 days."
CAND_0093912,16,0.6793,"Senior Data Scientist with 5.3 years experience at Razorpay; verified Milvus score 75/100; hands-on retrieval, ranking work in career history."
CAND_0068811,17,0.6779,"Applied ML Engineer with 8.0 years experience at Freshworks; verified Vector Search score 53/100; hands-on ranking, recommendation work in career history."
CAND_0080766,18,0.6777,"Staff Machine Learning Engineer with 8.8 years experience at Salesforce; verified Weaviate score 84/100; hands-on retrieval, ranking work in career history."
CAND_0081846,19,0.6757,"Lead AI Engineer with 6.7 years experience at Razorpay; verified LlamaIndex score 68/100; hands-on retrieval, ranking work in career history."
CAND_0005538,20,0.6752,"Senior AI Engineer with 5.9 years experience at Adobe; verified Embeddings score 93/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days."
CAND_0007009,21,0.6692,"Recommendation Systems Engineer with 7.9 years experience at Wysa; verified Statistical Modeling score 51/100; hands-on retrieval, embeddings work in career history."
CAND_0002025,22,0.6681,"Senior AI Engineer with 5.9 years experience at Apple; hands-on ranking, recommendation work in career history."
CAND_0008425,23,0.6662,"Senior NLP Engineer with 7.8 years experience at Ola; verified Learning to Rank score 78/100; hands-on retrieval, ranking work in career history. Concern: notice period 90 days."
